observation,vintage,version,value,basis
2022 AUG,2024-12-17,107,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 DEC,2023-03-14,90,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 DEC,2024-02-13,97,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 DEC,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 FEB,2022-05-16,80,3.7,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 FEB,2024-02-13,97,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 FEB,2024-12-17,107,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 JAN,2022-04-11,79,3.8,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 JAN,2024-02-13,97,4.0,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
2022 JAN,2024-12-17,107,3.9,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
